"GEOID","hhs_0k_10k","hhs_100k_125k","hhs_10k_15k","hhs_125k_150k","hhs_150k_200k","hhs_15k_20k","hhs_20k_25k","hhs_25k_30k","hhs_30k_35k","hhs_35k_40k","hhs_40k_45k","hhs_45k_50k","hhs_50k_60k","hhs_60k_75k","hhs_75k_100k","hhs_above_200k","hhs_total","hhs_below_eli","hhs_below_ami50","hhs_below_ami80","hhs_below_ami100","hhs_below_ami120","pct_below_eli","pct_below_ami50","pct_below_ami80","pct_below_ami100","pct_below_ami120"
"482012205003",302,0,194,0,10,192,35,86,26,26,0,62,35,0,0,0,968,735.9,851.38,958,958,958,0.760227272727273,0.87952479338843,0.989669421487603,0.989669421487603,0.989669421487603
"482012206001",129,20,9,31,0,95,106,33,49,109,78,22,27,50,21,0,779,343.95,489.67,660.5,708.092,720.9104,0.441527599486521,0.628587933247754,0.84788189987163,0.908975609756098,0.92543055198973
"482012206002",0,27,8,19,0,0,0,8,0,0,0,28,44,150,34,0,318,9.2,16,98.5,239.768,260.5216,0.0289308176100629,0.050314465408805,0.309748427672956,0.753987421383648,0.819250314465409
"482012207001",102,0,33,0,0,26,47,33,15,0,24,0,21,16,0,0,317,212.95,256,302.12,317,317,0.671766561514196,0.807570977917981,0.953059936908517,1,1
"482012207002",28,23,50,0,0,24,41,0,40,0,0,14,35,10,16,0,281,143,183,232.7,242.832,252.5984,0.508896797153025,0.651245551601424,0.828113879003559,0.864170818505338,0.898926690391459
"482012207003",22,0,8,16,0,50,0,0,44,0,0,0,0,25,48,0,213,80,124,125.75,151.496,180.7952,0.375586854460094,0.582159624413146,0.59037558685446,0.71124882629108,0.848803755868545
"482012207004",81,8,0,0,0,122,44,27,65,20,26,0,91,7,0,0,491,251.05,351.6,476.49,483,483,0.511303462321792,0.716089613034623,0.970448065173116,0.983706720977597,0.983706720977597
"482012207005",99,37,74,0,0,59,95,15,49,23,0,33,9,24,11,8,536,329.25,405.49,457.68,480.572,487.2864,0.614272388059702,0.756511194029851,0.853880597014925,0.896589552238806,0.909116417910448
"482012208001",20,0,28,0,29,9,84,23,31,24,0,52,34,9,0,0,343,144.45,210.12,305.63,314,314,0.421137026239067,0.612594752186589,0.891049562682216,0.915451895043732,0.915451895043732
"482012208002",251,0,9,0,0,55,52,87,70,28,40,23,34,0,0,0,649,380.05,541.64,649,649,649,0.585593220338983,0.834576271186441,1,1,1
"482012209001",47,0,0,0,0,7,27,7,13,9,31,0,19,62,17,7,246,82.05,106.67,164.34,222.884,233.2608,0.333536585365854,0.433617886178862,0.668048780487805,0.906032520325203,0.948214634146341
